year,scenario,gmst_C
1850,ssp1_2_6,12.9347
1851,ssp1_2_6,12.888
1852,ssp1_2_6,12.8665
1853,ssp1_2_6,12.8782
1854,ssp1_2_6,12.8808
1855,ssp1_2_6,12.8606
1856,ssp1_2_6,12.8919
1857,ssp1_2_6,13.0367
1858,ssp1_2_6,13.0046
1859,ssp1_2_6,12.9473
1860,ssp1_2_6,12.9769
1861,ssp1_2_6,12.7734
1862,ssp1_2_6,12.6844
1863,ssp1_2_6,12.8247
1864,ssp1_2_6,12.9804
1865,ssp1_2_6,12.836
1866,ssp1_2_6,12.8966
1867,ssp1_2_6,12.8903
1868,ssp1_2_6,12.8478
1869,ssp1_2_6,12.9147
1870,ssp1_2_6,12.9129
1871,ssp1_2_6,12.8946
1872,ssp1_2_6,12.8539
1873,ssp1_2_6,12.7712
1874,ssp1_2_6,12.9182
1875,ssp1_2_6,12.7018
1876,ssp1_2_6,12.856
1877,ssp1_2_6,13.0344
1878,ssp1_2_6,12.79
1879,ssp1_2_6,12.9522
1880,ssp1_2_6,13.0091
1881,ssp1_2_6,12.898
1882,ssp1_2_6,12.9515
1883,ssp1_2_6,12.9781
1884,ssp1_2_6,12.5616
1885,ssp1_2_6,12.7829
1886,ssp1_2_6,12.838
1887,ssp1_2_6,12.7192
1888,ssp1_2_6,12.8007
1889,ssp1_2_6,12.733
1890,ssp1_2_6,12.6773
1891,ssp1_2_6,12.7173
1892,ssp1_2_6,12.765
1893,ssp1_2_6,12.9111
1894,ssp1_2_6,12.9546
1895,ssp1_2_6,12.7943
1896,ssp1_2_6,12.7727
1897,ssp1_2_6,12.869
1898,ssp1_2_6,12.8553
1899,ssp1_2_6,12.7186
1900,ssp1_2_6,12.8241
1901,ssp1_2_6,12.9041
1902,ssp1_2_6,12.6748
1903,ssp1_2_6,12.5882
1904,ssp1_2_6,12.5064
1905,ssp1_2_6,12.5057
1906,ssp1_2_6,12.5371
1907,ssp1_2_6,12.7082
1908,ssp1_2_6,12.6532
1909,ssp1_2_6,12.6022
1910,ssp1_2_6,12.6595
1911,ssp1_2_6,12.6038
1912,ssp1_2_6,12.5828
1913,ssp1_2_6,12.676
1914,ssp1_2_6,12.7489
1915,ssp1_2_6,12.6472
1916,ssp1_2_6,12.5944
1917,ssp1_2_6,12.7907
1918,ssp1_2_6,12.5548
1919,ssp1_2_6,12.7699
1920,ssp1_2_6,12.8727
